Well	Surface	MD	missing	Type
Yabl_001	M-1_top	2981.0	-999	HORIZON
Yabl_001	M1_base	3023.0	-999	HORIZON
Yabl_001	M-2_top	3037.0	-999	HORIZON
Yabl_001	M-2_base	3081.0	-999	HORIZON
Yabl_001	M-3_top	3092.0	-999	HORIZON
Yabl_001	M-3_base	3154.0	-999	HORIZON
Yabl_001	M-4_top	3168.0	-999	HORIZON
Yabl_001	M-4_base	3189.0	-999	HORIZON
Yabl_001	M-5v_top	3219.0	-999	HORIZON
Yabl_001	M-5v_base	3247.0	-999	HORIZON
Yabl_001	M-5n_top	3258.0	-999	HORIZON
Yabl_001	M-5n_base	3265.0	-999	HORIZON
Yabl_001	M-6_top	3285.0	-999	HORIZON
Yabl_001	M-6_base	3353.0	-999	HORIZON
Yabl_001	M-7_top	3366.0	-999	HORIZON
Yabl_001	M-7_base	3460.2	-999	HORIZON
Yabl_001	B-3_top	3466.0	-999	HORIZON
Yabl_001	B-3_base	3481.0	-999	HORIZON
Yabl_001	B-4_top	3486.0	-999	HORIZON
Yabl_001	B-4_base	3526.0	-999	HORIZON
Yabl_001	B-11_top	3550.0	-999	HORIZON
Yabl_001	B-11_base	3554.0	-999	HORIZON
Yabl_001	S-23_top	3640.0	-999	HORIZON
Yabl_001	S-23_base	3666.0	-999	HORIZON
Yabl_001	V-15_top	3784.0	-999	HORIZON
Yabl_001	V-15_base	3822.0	-999	HORIZON
Yabl_001	V-16_top	3837.0	-999	HORIZON
Yabl_001	V-16_base	3872.0	-999	HORIZON
Yabl_001	V-17v_top	3874.0	-999	HORIZON
Yabl_001	V-17v_base	3895.0	-999	HORIZON
Yabl_001	V-17v2_top	3874.0	-999	HORIZON
Yabl_001	V-17v2_base	3884.0	-999	HORIZON
Yabl_001	V-17v3_top	3891.0	-999	HORIZON
Yabl_001	V-17v3_base	3895.0	-999	HORIZON
Yabl_001	V-17n1_top	3912.0	-999	HORIZON
Yabl_001	V-17n1_base	3932.0	-999	HORIZON
Yabl_001	V-17n2_top	3943.0	-999	HORIZON
Yabl_001	V-17n2_base	3962.0	-999	HORIZON
Yabl_001	V-17n3_top	3971.0	-999	HORIZON
Yabl_001	V-17n3_base	3985.0	-999	HORIZON
Yabl_001	V-18_top	3999.0	-999	HORIZON
Yabl_001	V-18_base	4065.0	-999	HORIZON
Yabl_001	V-18v_top	3999.0	-999	HORIZON
Yabl_001	V-18v_base	4018.0	-999	HORIZON
Yabl_001	V-18s_top	4023.0	-999	HORIZON
Yabl_001	V-18s_base	4041.0	-999	HORIZON
Yabl_001	V-18n_top	4050.0	-999	HORIZON
Yabl_001	V-18n_base	4065.0	-999	HORIZON
Yabl_001	V-19_top	4074.0	-999	HORIZON
Yabl_001	V-19_base	4103.0	-999	HORIZON
Yabl_001	V-20_top	4116.0	-999	HORIZON
Yabl_001	V-20_base	4143.0	-999	HORIZON
Yabl_001	V-21_top	4143.0	-999	HORIZON
Yabl_001	V-21_base	4156.0	-999	HORIZON
Yabl_001	V-22_top	4211.0	-999	HORIZON
Yabl_001	V-22_base	4260.0	-999	HORIZON
Yabl_001	V-22v_top	4211.0	-999	HORIZON
Yabl_001	V-22v_base	4220.0	-999	HORIZON
Yabl_001	V-22n_top	4227.0	-999	HORIZON
Yabl_001	V-22n_base	4260.0	-999	HORIZON
Yabl_001	V-23_top	4353.0	-999	HORIZON
Yabl_001	V-23_base	4379.0	-999	HORIZON
Yabl_001	V-24_top	4379.0	-999	HORIZON
Yabl_001	V-25_base	4219.0	-999	HORIZON
Yabl_001	V-26_top	4550.0	-999	HORIZON
Yabl_001	V-26_base	4681.0	-999	HORIZON
Yabl_001	T-1_top	4681.0	-999	HORIZON
Yabl_001	T-1_base	4830.0	-999	HORIZON
Yabl_001	D3fm2 (oz-hv)_top	4830.0	-999	HORIZON
Yabl_001	D3fm2 (oz-hv)_base	4847.0	-999	HORIZON
Yabl_001	D3fm2 (dn-lb)_top	4847.0	-999	HORIZON
Yabl_001	D3fm2 (dn-lb)_base	4986.0	-999	HORIZON
Yabl_001	D3fm1 (zd-el)_top	4986.0	-999	HORIZON
Yabl_001	D3fm1 (zd-el)_base	5030.0	-999	HORIZON
Yabl_001	D3fr3 (ev-lv)_top	5030.0	-999	HORIZON
Yabl_001	D3fr3 (ev-lv)_base	5101.0	-999	HORIZON
Yabl_001	salt	5093.0	-999	HORIZON
Yabl_002	M-2_top	3226.0	-999	HORIZON
Yabl_002	M-2_base	3312.0	-999	HORIZON
Yabl_002	M-3_top	3319.0	-999	HORIZON
Yabl_002	M-3_base	3426.0	-999	HORIZON
Yabl_002	M-4_top	3434.0	-999	HORIZON
Yabl_002	M-4_base	3458.0	-999	HORIZON
Yabl_002	M-5v_top	3472.0	-999	HORIZON
Yabl_002	M-5v_base	3501.0	-999	HORIZON
Yabl_002	M-5n_top	3513.0	-999	HORIZON
Yabl_002	M-5n_base	3537.0	-999	HORIZON
Yabl_002	M-6_top	3544.0	-999	HORIZON
Yabl_002	M-6_base	3612.0	-999	HORIZON
